Brand,Series,Screen Size,Color,Hard Disk Size,CPU Model,Ram Memory Installed Size,Operating System,Card Description,Graphics Coprocessor,Special Feature,CPU Speed,Hard Disk Description,Resolution,RAM Memory Maximum Size,Model Name,Item Weight,Price
Acer,A515-56-36UT,15.6 Inches,Silver,128 GB,Core i3,4 GB,Windows 11 S,Integrated,,Multi-touch Gesture,,,,,,,$332.40
Acer,PT515-52-71K5,15.6 Inches,Black,1 TB,Core i7,16 GB,Windows 10 Home,RTX 2070 Super,NVIDIA GeForce RTX 2070,,,,,,,,"$1,579.00"
Dell,Inspiron 13 5310,13.3 Inches,Windows 10,512 GB,Core i7,16 GB,Windows 10,NVIDA GeForce MX450,NVIDIA GeForce MX450,,,,,,,,$999.00
HP,HP Laptop 17-cn0025nr,17.3 Inches,Natural silver,256 GB,Intel Core i5-1135G7,8 GB,Windows 11 Home,Integrated,,"Operating system: Windows 11 Home, Display: 17.3-inch diagonal, HD+ (1600 x 900), anti-glare), Processor: 11th Generation Intel Core i5-1135G7, Internal storage: 256 GB PCIe NVMe M.2 SSD, Memory: 8 GB DDR4-3200 MHz RAM (2 X 4 GB)  See more",,,,,,,$579.00
Apple,MacBook Air,13.3 Inches,Silver,128 GB,Core i5,4 GB,Mac OS X,Integrated,,"720p FaceTime HD Camera, SDXC Card Slot",,,,,,,$239.99
HP,HP Pavilion,14 Inches,,1 TB,Ryzen 5,32 GB,Windows 11,Integrated,AMD Radeon™ Graphics,,2.4 GHz,,,,,,$669.99
Lenovo,Ideapad,15.6 Inches,Gray,1 TB,Core i3 Family,20 GB,Windows 11 Home,,Intel UHD Graphics,,3 GHz,,,,,,$579.00
MSI,Modern 14 B11SB-084,14 Inches,Carbon Gray,1 TB,Core i5 Family,8 GB,Windows 10 Pro,Dedicated,,,0.9 GHz,,,,,,$934.00
Lenovo,Lenovo Legion,17.3 Inches,Black,256 GB,AMD R Series,32 GB,Windows 11,,Amd,,2 GHz,,,,,,"$1,099.99"
HP,HP,15.6 Inches,Silver,256 GB,Intel Core i3,16 GB,Windows 10,Integrated,Intel,,,,,,,,$469.00
Lenovo,,15.6 Inches,Black,512 GB,,16 GB,Windows 10 Home,Dedicated,,,4.1 GHz,,"1080p, 720p",,,4.85 Pounds,$845.00
MSI,GF75,17.3 Inches,Black,512 GB,Core i5,8 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1650 Ti,,,,,,,,
HP,Pavilion,15.6 Inches,Natural Silver,512 GB,AMD R Series,16 GB,Windows 10 Home,,AMD Radeon Graphics,,3.5 GHz,,,,,,$599.00
Acer,Nitro 5 Gaming Laptop,15.6 Inches,Shale Black,1 TB,Ryzen 7,16 GB,Windows 10 Home,Dedicated,GeForce RTX™ 3060,,,,,,,,"$1,268.00"
Lenovo,Lenovo Ryzen 3,15.6 Inches,,1 TB,AMD Ryzen 7,8 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 3050 Ti 4GB GDDR6,,3.2 GHz,,,,,,"$1,349.00"
MSI,Prestige 14Evo A11MO-052,14 Inches,Carbon Gray,512 GB,Core i7 Family,16 GB,Win 10 Multi-language /Free upgrade to Win 11,Integrated,,,2.9 GHz,,,,,,$799.00
DaySky,,14.1 Inches,Red,512 GB,Celeron N4000,12 GB,Windows 10 Pro,,‎Intel UHD Graphics,,2.9 GHz,SSD,,,,,$529.99
ASUS,TUF FX505DT,15.6 Inches,Black,256 GB,Ryzen 5 3550H,8 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,"$1,083.00"
HP,HP,15.6 Inches,Silver,256 GB,Intel Core i3,16 GB,Windows 10,Integrated,Intel,,,,,,,,$469.00
Lenovo,,15.6 Inches,Black,512 GB,,16 GB,Windows 10 Home,Dedicated,,,4.1 GHz,,"1080p, 720p",,,4.85 Pounds,$845.00
Lenovo,Ideapad L340 Gaming Laptop,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$829.00
MSI,GF75,17.3 Inches,Black,512 GB,Core i5,8 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1650 Ti,,,,,,,,
HP,Pavilion,15.6 Inches,Natural Silver,512 GB,AMD R Series,16 GB,Windows 10 Home,,AMD Radeon Graphics,,3.5 GHz,,,,,,$599.00
Acer,Nitro 5 Gaming Laptop,15.6 Inches,Shale Black,1 TB,Ryzen 7,16 GB,Windows 10 Home,Dedicated,GeForce RTX™ 3060,,,,,,,,"$1,268.00"
Lenovo,Lenovo Ryzen 3,15.6 Inches,,1 TB,AMD Ryzen 7,8 GB,Windows 10,Dedicated,NVIDIA GeForce RTX 3050 Ti 4GB GDDR6,,3.2 GHz,,,,,,"$1,349.00"
MSI,Prestige 14Evo A11MO-052,14 Inches,Carbon Gray,512 GB,Core i7 Family,16 GB,Win 10 Multi-language /Free upgrade to Win 11,Integrated,,,2.9 GHz,,,,,,$799.00
DaySky,,14.1 Inches,Red,512 GB,Celeron N4000,12 GB,Windows 10 Pro,,‎Intel UHD Graphics,,2.9 GHz,SSD,,,,,$529.99
HP,HP Pavilion x360 Convertible 14-dw1025nr,14 Inches,Natural Silver,256 GB,Intel Core i5-1135G7,8 GB,Windows 11 Home,Integrated,,"PCIe NVMe SSD storage, 11th Generation Intel Core processor, Intel Iris Xe graphics, Wi-Fi CERTIFIED 6 and Bluetooth 5, Windows 11  See more",,,,,,,$698.00
Lenovo,Ideapad 3 17 Laptop,17.3,Abyss Blue,,Ryzen 5,8 GB,Windows 10 Home,Integrated,,,2.1 GHz,SSD,,,,,$551.97
ASUS,ASUS VivoBook 15,15.6 Inches,Slate Grey,128 GB,Ryzen 5 3500U,8 GB,Windows 10 Home,Integrated,AMD Radeon Graphics,,,,,,,,$619.99
HP,Victus,16.1 Inches,,1 TB,Core i5,16 GB,Windows 11,Integrated,NVIDIA GeForce RTX 3050,,4.5 GHz,,,,,,"$1,089.00"
Lenovo,Lenovo Ideapad,15.6 Inches,Onyx Black,256 GB,AMD Ryzen 5 5600X,8 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$705.00
Razer,Blade Stealth,13.3,Classic Black,512 GB,Core i7,16 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650 Ti Max-Q,,,,,,,,"$1,769.98"
Lenovo,Lenovo Ideapad,15.6 Inches,Onyx Black,256 GB,AMD Ryzen 5 5600X,8 GB,Windows 10 Home,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$705.00
Razer,Blade Stealth,13.3,Classic Black,512 GB,Core i7,16 GB,Windows 10,Dedicated,NVIDIA GeForce GTX 1650 Ti Max-Q,,,,,,,,"$1,769.98"
MSI,Sword15001,15.6 Inches,White,1 TB,Core i7 Family,32 GB,Windows 11 Home,Dedicated,NVIDIA GeForce RTX 3050 Ti 4GB GDDR6,,,,,,,,
Lenovo,Lenovo,17.3 Inches,Black,256 GB,Ryzen 5,8 GB,Windows 11,Dedicated,NVIDIA GeForce GTX 1650,,,,,,,,$899.00
MSI,GF661090,15.6,Black,,Core i7 Family,16 GB,Windows 11 Home,Integrated,,,2.4,SSD,,,,,"$1,015.99"
HP,,14 Inches,Black,320 GB,AMD R Series,16 GB,Windows 10,,AMD Radeon™ Graphics,,1.2 GHz,,,,50,,$459.99
